T (K),U1,U2,U3,F1,F2,F3,S1,S2,S3
1656.5656565656566,0.0,7.084571314386111e-21,9.549682834171207e-21,-6.035882278226871e-20,-4.4911184711792413e-20,-4.880259559932454e-20,3.643611863075977e-23,3.1387681991412645e-23,3.522485100558584e-23
1673.737373737374,0.0,7.205451048177177e-21,9.59101909647633e-21,-6.098449350623126e-20,-4.5450790188509e-20,-4.940768099661049e-20,3.6436118630759776e-23,3.146027690061515e-23,3.52496759759541e-23
1690.909090909091,0.0,7.325487679920895e-21,9.631542555031901e-21,-6.16101642301938e-20,-4.599163155590426e-20,-5.001318631609108e-20,3.643611863075977e-23,3.153162965559552e-23,3.5273764386147996e-23
1708.080808080808,0.0,7.444666913713013e-21,9.671275676645846e-21,-6.223583495415634e-20,-4.653368762681671e-20,-5.0619099152968864e-20,3.6436118630759776e-23,3.1601756945667906e-23,3.52971443414066e-23
1725.2525252525254,0.0,7.562975900191013e-21,9.710240160147641e-21,-6.286150567811888e-20,-4.707693750369014e-20,-5.122540757387797e-20,3.643611863075977e-23,3.167067580201542e-23,3.531984265613896e-23
1742.4242424242425,0.0,7.680403160071084e-21,9.748456966124626e-21,-6.348717640208142e-20,-4.7621360583942446e-20,-5.1832100095310654e-20,3.643611863075977e-23,3.1738403540042546e-23,3.534188492221503e-23
1759.5959595959598,0.0,7.796938510706974e-21,9.785946345475313e-21,-6.411284712604397e-20,-4.816693656438404e-20,-5.2439165663181593e-20,3.643611863075977e-23,3.1804957706280193e-23,3.5363295573232105e-23
1776.767676767677,0.0,7.912572995626531e-21,9.822727866818414e-21,-6.473851785000651e-20,-4.871364544476149e-20,-5.304659363346292e-20,3.6436118630759776e-23,3.187035602955323e-23,3.538409794501337e-23
1793.939393939394,0.0,8.027298816992994e-21,9.858820442796549e-21,-6.536418857396905e-20,-4.9261467530497274e-20,-5.365437375382766e-20,3.643611863075977e-23,3.193461637613478e-23,3.5404314332577684e-23
1811.1111111111113,0.0,8.141109270930423e-21,9.894242355313653e-21,-6.598985929793159e-20,-4.981038343469185e-20,-5.426249614624262e-20,3.643611863075977e-23,3.199775670862579e-23,3.542396604380407e-23
1828.2828282828284,0.0,8.253998685646695e-21,9.929011279744837e-21,-6.661553002189413e-20,-5.0360374079449664e-20,-5.487095129045595e-20,3.643611863075977e-23,3.205979504831237e-23,3.544307344999933e-23
1845.4545454545455,0.0,8.36596236228251e-21,9.963144308157028e-21,-6.724120074585667e-20,-5.0911420696587175e-20,-5.54797300083279e-20,3.643611863075977e-23,3.2120749440766826e-23,3.546165603356326e-23
1862.6262626262628,0.0,8.476996518410976e-21,9.996657971578086e-21,-6.786687146981922e-20,-5.1463504827776215e-20,-5.608882344895636e-20,3.643611863075977e-23,3.218063792447143e-23,3.5479732432933353e-23
1879.79797979798,0.0,8.58709823410942e-21,1.0029568261351395e-20,-6.849254219378176e-20,-5.2016608324173216e-20,-5.669822307455216e-20,3.6436118630759776e-23,3.2239478502256747e-23,3.5497320484978244e-23
1896.969696969697,0.0,8.696265400522946e-21,1.0061890649612006e-20,-6.91182129177443e-20,-5.257071334558057e-20,-5.730792064702148e-20,3.6436118630759776e-23,3.2297289115358085e-23,3.551443726499848e-23
1914.1414141414143,0.0,8.804496670837844e-21,1.0093640108919603e-20,-6.974388364170684e-20,-5.3125802359183826e-20,-5.791790821521566e-20,3.643611863075977e-23,3.2354087619905776e-23,3.5531099124482266e-23
1931.3131313131314,0.0,8.911791413582147e-21,1.0124831131082435e-20,-7.036955436566938e-20,-5.3681858137904615e-20,-5.852817810281116e-20,3.643611863075977e-23,3.2409891765675674e-23,3.554732172675452e-23
1948.4848484848485,0.0,9.018149668170369e-21,1.0155477745205433e-20,-7.099522508963192e-20,-5.423886375840715e-20,-5.913872289678443e-20,3.6436118630759776e-23,3.246471917693714e-23,3.5563120080647984e-23
1965.6565656565658,0.0,9.123572102609736e-21,1.018559353499465e-20,-7.162089581359447e-20,-5.479680259879254e-20,-5.974953543644887e-20,3.6436118630759776e-23,3.2518587335245753e-23,3.55785085723171e-23
1982.828282828283,0.0,9.228059973285684e-21,1.0215191655349016e-20,-7.2246566537557e-20,-5.535565833601346e-20,-6.036060880302293e-20,3.643611863075977e-23,3.2571513564037774e-23,3.5593500995307297e-23
2000.0,0.0,9.331615086745511e-21,1.0244284848269426e-20,-7.287223726151954e-20,-5.591541494303876e-20,-6.09719363097005e-20,3.643611863075977e-23,3.262351501489214e-23,3.5608110578984964e-23
